name,owner,description,updated_at,language,languages_breakdown,html_url
log4cats-loglevel,gemini-hlsw,Log4cats loglevel Integration,2024-11-30,Scala,Scala: 26402,https://github.com/gemini-hlsw/log4cats-loglevel
lucuma-broadcast-channel,gemini-hlsw,,2023-10-23,Scala,Scala: 2676,https://github.com/gemini-hlsw/lucuma-broadcast-channel
lucuma-catalog,gemini-hlsw,,2025-03-26,Scala,"Scala: 234469, Nix: 841, Shell: 40",https://github.com/gemini-hlsw/lucuma-catalog
lucuma-core,gemini-hlsw,Lucuma Core Classes,2025-07-21,Scala,"Scala: 1844722, Java: 9570, Nix: 886, Shell: 40",https://github.com/gemini-hlsw/lucuma-core
lucuma-graphql-routes,gemini-hlsw,Standard routing for Lucuma GraphQL endpoints.,2025-07-08,Scala,"Scala: 46151, Nix: 807, Shell: 40",https://github.com/gemini-hlsw/lucuma-graphql-routes
lucuma-itc,gemini-hlsw,,2025-07-18,Scala,"Scala: 609059, JavaScript: 15098, Shell: 1495, Nix: 979",https://github.com/gemini-hlsw/lucuma-itc
lucuma-jts,gemini-hlsw,,2024-11-30,Scala,"Scala: 1897417, Java: 1039170, HTML: 4614",https://github.com/gemini-hlsw/lucuma-jts
lucuma-odb,gemini-hlsw,,2025-07-21,Scala,"Scala: 4413993, PLpgSQL: 273746, Shell: 2705, Dockerfile: 1015, Nix: 992, Procfile: 294",https://github.com/gemini-hlsw/lucuma-odb
lucuma-primereact-designer,gemini-hlsw,Designer for primereact themes used by lucuma applications,2022-09-14,CSS,"CSS: 10375234, SCSS: 1079303, Hack: 444862, JavaScript: 97361, Scala: 2912, HTML: 823, Shell: 593, PHP: 45",https://github.com/gemini-hlsw/lucuma-primereact-designer
lucuma-primereact-sass-theme,gemini-hlsw,PrimeReact Theming with SASS,2024-05-24,SCSS,"SCSS: 1128278, JavaScript: 8392, Scala: 2911, Nix: 972, Shell: 582",https://github.com/gemini-hlsw/lucuma-primereact-sass-theme
lucuma-react,gemini-hlsw,,2025-07-18,Scala,"Scala: 787766, JavaScript: 15058, HTML: 3986, SCSS: 2614, CSS: 1683, Nix: 940, Shell: 41",https://github.com/gemini-hlsw/lucuma-react
lucuma-refined,gemini-hlsw,,2025-05-08,Scala,"Scala: 10546, Nix: 886, Shell: 40",https://github.com/gemini-hlsw/lucuma-refined
lucuma-schemas,gemini-hlsw,Schemas for lucuma DB,2025-07-21,Scala,"Scala: 198020, JavaScript: 2066, Nix: 841, Shell: 85",https://github.com/gemini-hlsw/lucuma-schemas
lucuma-seed,gemini-hlsw,Seed project for lucuma-based web apps.,2022-06-14,Scala,"Scala: 9695, JavaScript: 2787, Nix: 1051, HTML: 457, SCSS: 150",https://github.com/gemini-hlsw/lucuma-seed
lucuma-sso,gemini-hlsw,Lucuma Single Sign-On Service and Libraries,2025-07-18,Scala,"Scala: 194546, HTML: 5456, PLpgSQL: 1465, Nix: 931, Procfile: 267, Shell: 40",https://github.com/gemini-hlsw/lucuma-sso
lucuma-steward,gemini-hlsw,,2025-02-28,,,https://github.com/gemini-hlsw/lucuma-steward
lucuma-svgdotjs,gemini-hlsw,,2023-02-16,Scala,Scala: 2382,https://github.com/gemini-hlsw/lucuma-svgdotjs
lucuma-tmp-api,gemini-hlsw,Temporary project for developing the Lucuma science program / ODB API.,2023-09-11,Scala,"Scala: 1078602, Python: 3657, Procfile: 71",https://github.com/gemini-hlsw/lucuma-tmp-api
lucuma-typed,gemini-hlsw,,2025-06-30,Scala,"Scala: 23579, Nix: 972, Shell: 41",https://github.com/gemini-hlsw/lucuma-typed
lucuma-ui,gemini-hlsw,scalajs-react component library for GPP UIs,2025-07-21,Scala,"Scala: 401475, SCSS: 65610, CSS: 21632, JavaScript: 2077, Nix: 1038, HTML: 639, Shell: 41",https://github.com/gemini-hlsw/lucuma-ui
lucupy,gemini-hlsw,Support library for GPP Scheduler service,2025-07-21,Python,Python: 214029,https://github.com/gemini-hlsw/lucupy
maven-repo,gemini-hlsw,Gemini's public Maven repository,2025-05-27,,,https://github.com/gemini-hlsw/maven-repo
migration-validator-action,gemini-hlsw,,2023-05-10,JavaScript,"JavaScript: 4905808, Scala: 2533",https://github.com/gemini-hlsw/migration-validator-action
navigate-configs,gemini-hlsw,Navigate configurations database api,2025-05-02,TypeScript,"TypeScript: 96336, JavaScript: 3031, Dockerfile: 1496, Shell: 440",https://github.com/gemini-hlsw/navigate-configs
navigate-deploy,gemini-hlsw,Navigate deploy documentation and scripts,2025-05-07,,,https://github.com/gemini-hlsw/navigate-deploy
navigate-server,gemini-hlsw,New telescope control tool for the Gemini Observatory,2025-07-21,Scala,"Scala: 798669, Shell: 2134, Nix: 1133",https://github.com/gemini-hlsw/navigate-server
navigate-ts,gemini-hlsw,Navigate TypeScript projects,2025-07-21,TypeScript,"TypeScript: 368293, SCSS: 41245, Shell: 4937, JavaScript: 4126, CSS: 1877, Dockerfile: 1311, HTML: 361",https://github.com/gemini-hlsw/navigate-ts
observe,gemini-hlsw,GPP Observe Tool,2025-07-21,Scala,"Scala: 2315042, SCSS: 26276, Java: 9746, JavaScript: 4283, Shell: 2137, Nix: 1174, HTML: 417",https://github.com/gemini-hlsw/observe
ocs,gemini-hlsw,Observatory Control Software,2025-07-21,Java,"Java: 14184316, Scala: 5938840, HTML: 553278, Shell: 11434, JavaScript: 7962, CSS: 7919, AMPL: 7383, Tcl: 2841, Nix: 839",https://github.com/gemini-hlsw/ocs
ocs-build,gemini-hlsw,Scripts used to build and deploy the OCS.,2018-12-04,Shell,Shell: 59608,https://github.com/gemini-hlsw/ocs-build
ocs-env-processor,gemini-hlsw,OCS Environmental Data Preprocessor,2024-05-09,Python,Python: 9802,https://github.com/gemini-hlsw/ocs-env-processor
ocs-osx,gemini-hlsw,,2023-01-28,Scala,Scala: 11806,https://github.com/gemini-hlsw/ocs-osx
ocs-test,gemini-hlsw,Temporary test playground.,2014-08-29,Java,"Java: 46174, Scala: 8988",https://github.com/gemini-hlsw/ocs-test
org.ops4j.pax.web,gemini-hlsw,OSGi R4 Http Service and Web Applications (OSGi Enterprise Release chapter 128) implementation using Jetty 9 or Tomcat 7.,2023-02-16,,,https://github.com/gemini-hlsw/org.ops4j.pax.web
p1-backend-servers,gemini-hlsw,,2022-01-25,Perl,"Perl: 922713, Raku: 24494, Smarty: 3749, Shell: 758, HTML: 315",https://github.com/gemini-hlsw/p1-backend-servers
react-aladin,gemini-hlsw,,2025-04-13,Scala,"Scala: 19583, TypeScript: 2188, Nix: 1073, JavaScript: 517, Shell: 41",https://github.com/gemini-hlsw/react-aladin
react-moon,gemini-hlsw,Moon phase component for React,2022-08-31,,"JavaScript: 4883, CSS: 663, HTML: 478",https://github.com/gemini-hlsw/react-moon
refined-algebra,gemini-hlsw,Algebra instances for refined numerics,2024-11-30,Scala,Scala: 3056,https://github.com/gemini-hlsw/refined-algebra
sbt-heroku,gemini-hlsw,An sbt plugin for deploying Heroku Scala applications,2024-11-30,Scala,"Scala: 47865, HTML: 1502, Procfile: 90",https://github.com/gemini-hlsw/sbt-heroku
sbt-lucuma,gemini-hlsw,Shared SBT settings plugin.,2025-07-05,Scala,"Scala: 29541, Nix: 841, Shell: 40",https://github.com/gemini-hlsw/sbt-lucuma
schedule,gemini-hlsw,GPP Schedule app ,2025-07-17,TypeScript,"TypeScript: 204067, SCSS: 18235, MDX: 5422, HTML: 1690, JavaScript: 848, Procfile: 18",https://github.com/gemini-hlsw/schedule
scheduler,gemini-hlsw,Greedy algorithm for automatic scheduling ,2025-07-21,Python,"Python: 768425, Dockerfile: 561",https://github.com/gemini-hlsw/scheduler
scheduler-ocs-env,gemini-hlsw,Environment service for the Scheduler based on OCS data.,2022-09-06,Python,Python: 13841,https://github.com/gemini-hlsw/scheduler-ocs-env
scheduler-subscriber,gemini-hlsw,Subscriber for the Schedule app,2022-08-31,Python,"Python: 12709, Dockerfile: 385, Procfile: 20",https://github.com/gemini-hlsw/scheduler-subscriber
scorpio-setup,gemini-hlsw,Files needed for SCORPIO work on GIAPI and GMP,2021-04-01,,,https://github.com/gemini-hlsw/scorpio-setup
seqexec,gemini-hlsw,Observatory Control Software - New Generation,2025-06-25,Scala,"Scala: 2826396, Less: 56124, Java: 9746, JavaScript: 9643, Python: 6027, Shell: 3743, Nix: 1571",https://github.com/gemini-hlsw/seqexec
tcssim,gemini-hlsw,TCS simulator,2025-04-30,Scala,"Scala: 176940, Java: 647",https://github.com/gemini-hlsw/tcssim
tom_base,gemini-hlsw,The base Django project for a Target and Observation Manager,2023-12-20,Python,"Python: 987638, HTML: 87401, CSS: 825",https://github.com/gemini-hlsw/tom_base
wasm-flate,gemini-hlsw,"🗜️⚡WebAssembly powered compression and decompression in the browser and server. Supports GZIP, ZLIB and DEFLATE",2022-09-22,Rust,"Rust: 4599, Nix: 947",https://github.com/gemini-hlsw/wasm-flate
webapp-util,gemini-hlsw,Scala Webapp Utilities,2024-08-23,,"Scala: 535523, TLA: 6284, JavaScript: 1221, Shell: 1032, Makefile: 89",https://github.com/gemini-hlsw/webapp-util
